[17/Apr/2023 05:25:48] DEBUG [django.utils.autoreload:394] File C:\Python311\DLLs\_socket.pyd first seen with mtime 1666632888.0
[17/Apr/2023 05:25:48] DEBUG [django.utils.autoreload:394] File C:\Users\USER\Desktop\DjangoProjects\venv\Lib\site-packages\urllib3\packages\six.py first seen with mtime 1681563919.6046727
[17/Apr/2023 05:25:48] DEBUG [django.utils.autoreload:394] File C:\Users\USER\Desktop\DjangoProjects\venv\Lib\site-packages\urllib3\contrib\_appengine_environ.py first seen with mtime 1681563919.5766897
[17/Apr/2023 05:25:48] DEBUG [django.utils.autoreload:394] File C:\Users\USER\Desktop\DjangoProjects\venv\Lib\site-packages\django\db\models\aggregates.py first seen with mtime 1678939940.6130376
[17/Apr/2023 05:25:48] DEBUG [django.utils.autoreload:394] File C:\Users\USER\Desktop\DjangoProjects\venv\Lib\site-packages\django\db\backends\mysql\creation.py first seen with mtime 1678939940.534915
[17/Apr/2023 05:25:48] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\asyncio\transports.py first seen with mtime 1666632848.0
[17/Apr/2023 05:25:48] DEBUG [django.utils.autoreload:394] File C:\Users\USER\Desktop\DjangoProjects\venv\Lib\site-packages\MySQLdb\converters.py first seen with mtime 1681533621.0439372
[17/Apr/2023 05:25:48] DEBUG [django.utils.autoreload:394] File C:\Users\USER\Desktop\DjangoProjects\venv\Lib\site-packages\django\template\backends\django.py first seen with mtime 1678939940.8786533
[17/Apr/2023 05:25:48] DEBUG [django.utils.autoreload:394] File C:\Users\USER\Desktop\DjangoProjects\venv\Lib\site-packages\urllib3\poolmanager.py first seen with mtime 1681563919.571693
[17/Apr/2023 05:25:48] DEBUG [django.utils.autoreload:394] File C:\Users\USER\Desktop\DjangoProjects\venv\Lib\site-packages\django\db\utils.py first seen with mtime 1678939940.5036657
[17/Apr/2023 05:25:48] DEBUG [django.utils.autoreload:394] File C:\Users\USER\Desktop\DjangoProjects\venv\Lib\site-packages\django\utils\connection.py first seen with mtime 1678939940.9411511
[17/Apr/2023 05:25:48] DEBUG [django.utils.autoreload:394] File C:\Users\USER\Desktop\DjangoProjects\venv\Lib\site-packages\django\utils\module_loading.py first seen with mtime 1678939940.9724
[17/Apr/2023 05:25:48] DEBUG [django.utils.autoreload:394] File C:\Users\USER\Desktop\DjangoProjects\venv\Lib\site-packages\django\apps\registry.py first seen with mtime 1678939934.9215946
[17/Apr/2023 05:25:48] DEBUG [django.utils.autoreload:394] File C:\Users\USER\Desktop\DjangoProjects\venv\Lib\site-packages\cloudinary\search_folders.py first seen with mtime 1681563921.888671
[17/Apr/2023 05:25:48] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\_compression.py first seen with mtime 1666632848.0
[17/Apr/2023 05:25:48] DEBUG [django.utils.autoreload:394] File C:\Users\USER\Desktop\DjangoProjects\venv\Lib\site-packages\django\contrib\messages\constants.py first seen with mtime 1678939938.8874416
[17/Apr/2023 05:25:48] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\hmac.py first seen with mtime 1666632848.0
[17/Apr/2023 05:25:48] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\wsgiref\simple_server.py first seen with mtime 1666632850.0
[17/Apr/2023 05:25:48] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\heapq.py first seen with mtime 1666632848.0
[17/Apr/2023 05:25:48] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\logging\__init__.py first seen with mtime 1666632848.0
[17/Apr/2023 05:25:48] DEBUG [django.utils.autoreload:394] File C:\Users\USER\Desktop\DjangoProjects\venv\Lib\site-packages\asgiref\local.py first seen with mtime 1678939934.6559775
[17/Apr/2023 05:25:48] DEBUG [django.utils.autoreload:394] File C:\Users\USER\Desktop\DjangoProjects\venv\Lib\site-packages\PIL\_binary.py first seen with mtime 1680201170.1535082
[17/Apr/2023 05:25:48] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\encodings\__init__.py first seen with mtime 1666632848.0
[17/Apr/2023 05:25:48] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\asyncio\base_events.py first seen with mtime 1666632848.0
[17/Apr/2023 05:25:48] DEBUG [django.utils.autoreload:394] File C:\Users\USER\Desktop\DjangoProjects\venv\Lib\site-packages\django\core\management\base.py first seen with mtime 1678939940.4501162
[17/Apr/2023 05:25:48] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\email\message.py first seen with mtime 1666632848.0
[17/Apr/2023 05:25:48] DEBUG [django.utils.autoreload:394] File C:\Users\USER\Desktop\DjangoProjects\venv\Lib\site-packages\django\middleware\security.py first seen with mtime 1678939940.8474035
[17/Apr/2023 05:25:48] DEBUG [django.utils.autoreload:394] File C:\Users\USER\Desktop\DjangoProjects\venv\Lib\site-packages\django\core\files\move.py first seen with mtime 1678939940.4130697
[17/Apr/2023 05:25:48] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\mimetypes.py first seen with mtime 1666632848.0
[17/Apr/2023 05:25:48] DEBUG [django.utils.autoreload:394] File C:\Users\USER\Desktop\DjangoProjects\venv\Lib\site-packages\django\contrib\__init__.py first seen with mtime 1678939935.5281825
[17/Apr/2023 05:25:48] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\reprlib.py first seen with mtime 1666632848.0
[17/Apr/2023 05:25:48] DEBUG [django.utils.autoreload:394] File C:\Users\USER\Desktop\DjangoProjects\venv\Lib\site-packages\django\contrib\admin\views\decorators.py first seen with mtime 1678939936.46565
[17/Apr/2023 05:25:48] DEBUG [django.utils.autoreload:394] File C:\Users\USER\Desktop\DjangoProjects\Base\App\admin.py first seen with mtime 1680242472.4369535
[17/Apr/2023 05:25:48] DEBUG [django.utils.autoreload:394] File C:\Users\USER\Desktop\DjangoProjects\venv\Lib\site-packages\django\template\smartif.py first seen with mtime 1678939940.863029
[17/Apr/2023 05:25:48] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\importlib\resources\_itertools.py first seen with mtime 1666632848.0
[17/Apr/2023 05:25:48] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\importlib\_abc.py first seen with mtime 1666632848.0
[17/Apr/2023 05:25:48] DEBUG [django.utils.autoreload:394] File C:\Users\USER\Desktop\DjangoProjects\venv\Lib\site-packages\django\contrib\admin\views\main.py first seen with mtime 1678939936.46565
[17/Apr/2023 05:25:48] DEBUG [django.utils.autoreload:394] File C:\Users\USER\Desktop\DjangoProjects\venv\Lib\site-packages\django\db\backends\mysql\schema.py first seen with mtime 1678939940.534915
[17/Apr/2023 05:25:48] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\email\contentmanager.py first seen with mtime 1666632848.0
[17/Apr/2023 05:25:48] DEBUG [django.utils.autoreload:394] File C:\Users\USER\Desktop\DjangoProjects\venv\Lib\site-packages\certifi\__init__.py first seen with mtime 1681563921.3857546
[17/Apr/2023 05:25:48] DEBUG [django.utils.autoreload:394] File C:\Python311\Lib\email\mime\nonmultipart.py first seen with mtime 1666632848.0
